utcDate,homeTeam,awayTeam,score
2026-04-19T00:00:00Z,RC ,REN,
2026-04-19T00:00:00Z,RCL,TOU,
2026-04-19T00:00:00Z,ANG,HAC,
2026-04-26T00:00:00Z,HAC,FCM,
2026-04-26T00:00:00Z,FCL,RC ,
2026-04-26T00:00:00Z,PFC,LIL,
2026-04-26T00:00:00Z,TOU,ASM,
2026-04-26T00:00:00Z,LYO,AJA,
2026-04-26T00:00:00Z,MAR,NIC,
2026-04-26T00:00:00Z,ANG,PSG,
2026-04-26T00:00:00Z,BRE,RCL,
2026-04-26T00:00:00Z,REN,NAN,
2026-05-03T00:00:00Z,AJA,ANG,
2026-05-03T00:00:00Z,FCM,ASM,
2026-05-03T00:00:00Z,NAN,MAR,
2026-05-03T00:00:00Z,PFC,BRE,
2026-05-03T00:00:00Z,NIC,RCL,
2026-05-03T00:00:00Z,LYO,REN,
2026-05-03T00:00:00Z,LIL,HAC,
2026-05-03T00:00:00Z,PSG,FCL,
2026-05-03T00:00:00Z,RC ,TOU,
2026-05-09T00:00:00Z,HAC,MAR,
2026-05-09T00:00:00Z,AJA,NIC,
2026-05-09T00:00:00Z,ASM,LIL,
2026-05-09T00:00:00Z,FCM,FCL,
2026-05-09T00:00:00Z,TOU,LYO,
2026-05-09T00:00:00Z,PSG,BRE,
2026-05-09T00:00:00Z,RCL,NAN,
2026-05-09T00:00:00Z,ANG,RC ,
2026-05-09T00:00:00Z,REN,PFC,
2026-05-16T00:00:00Z,FCL,HAC,
2026-05-16T00:00:00Z,NAN,TOU,
2026-05-16T00:00:00Z,PFC,PSG,
2026-05-16T00:00:00Z,NIC,FCM,
2026-05-16T00:00:00Z,LYO,RCL,
2026-05-16T00:00:00Z,MAR,REN,
2026-05-16T00:00:00Z,LIL,AJA,
2026-05-16T00:00:00Z,RC ,ASM,
2026-05-16T00:00:00Z,BRE,ANG,
