month,country_or_territory,currency,code,rate
2021-02,Indonesia,Rupiah,IDR,19125.1300
2021-02,Iraq,Dinar,IQD,1991.5700
2021-02,Israel,Shekel,ILS,4.4560
2021-02,Jamaica,Dollar,JMD,196.5900
2021-02,Japan,Yen,JPY,141.1800
2021-02,Jordan,Dinar,JOD,0.9665
2021-02,Kazakhstan,Tenge,KZT,571.2100
2021-02,Kenya,Schilling,KES,150.2200
2021-02,Kuwait,Dinar,KWD,0.4139
2021-02,Kyrgyz Republic,Som,KGS,115.5900
2021-02,Lao People's Dem Rep,Kip,LAK,12714.8600
2021-02,Lebanon,Pound,LBP,2072.0000
2021-02,Lesotho,Loti,LSL,20.2900
2021-02,Liberia,Dollar (US),USD,1.3632
2021-02,Libya,Dinar,LYD,6.0865
2021-02,Macao,Pataca,MOP,10.8800
2021-02,Macedonia,Denar,MKD,69.3400
2021-02,Madagascar,Malagasy Ariary,MGA,5193.6300
2021-02,Malawi,Kwacha,MWK,1051.2700
2021-02,Malaysia,Ringgit,MYR,5.5140
2021-02,Maldive Islands,Rufiyaa,MVR,20.9900
2021-02,Mali Republic,CFA Franc,XOF,738.6800
2021-02,Mauritania,Ouguiya,MRU,48.7000
2021-02,Mauritius,Rupee,MUR,53.8400
2021-02,Mexico,Mexican Peso,MXN,26.7000
2021-02,Moldova,Leu,MDL,23.6700
2021-02,Mongolia,Tugrik,MNT,3891.8100
2021-02,Montserrat,E Caribbean Dollar,XCD,3.6805
2021-02,Morocco,Dirham,MAD,12.2300
2021-02,Mozambique,Metical,MZN,101.7200
2021-02,Myanmar,Kyat,MMK,1817.0600
2021-02,Nepal,Rupee,NPR,159.2900
2021-02,New Caledonia,CFP Franc,XPF,134.3800
2021-02,New Zealand,Dollar,NZD,1.9033
2021-02,Nicaragua,Gold Cordoba,NIO,47.5200
2021-02,Niger Republic,CFA Franc,XOF,738.6800
2021-02,Nigeria,Naira,NGN,538.1000
2021-02,Norway,Norwegian Krone,NOK,11.5900
2021-02,Oman,Rial,OMR,0.5248
2021-02,Pakistan,Rupee,PKR,218.1000
2021-02,Panama,Balboa,PAB,1.3632
2021-02,Papua New Guinea,Kina,PGK,4.7873
2021-02,Paraguay,Guarani,PYG,9380.1900
2021-02,Peru,New Sol,PEN,4.9271
2021-02,Philippines,Peso,PHP,65.5000
2021-02,Poland,Zloty,PLN,5.1054
2021-02,Qatar,Riyal,QAR,4.9633
2021-02,Romania,New Leu,RON,5.4890
2021-02,Russia,Rouble,RUB,110.0700
2021-02,Rwanda,Franc,RWF,1347.4800
2021-02,Saotome & Principe,Dobra,STD,27931.1000
2021-02,Saudi Arabia,Riyal,SAR,5.1144
2021-02,Senegal,CFA Franc,XOF,738.6800
2021-02,Serbia,Dinar,RSD,132.4000
2021-02,Seychelles,Rupee,SCR,28.9700
2021-02,Sierra Leone,Leone,SLL,13945.1300
2021-02,Singapore,Dollar,SGD,1.8068
2021-02,Soloman Islands,Dollar,SBD,10.9000
2021-02,Somali Republic,Schilling,SOS,793.3500
2021-02,South Africa,Rand,ZAR,20.2900
2021-02,South Korea,Won,KRW,1499.9500
2021-02,Sri Lanka,Rupee,LKR,266.4900
2021-02,St Christopher & Anguilla,E Caribbean Dollar,XCD,3.6805
2021-02,St Lucia,E Caribbean Dollar,XCD,3.6805
2021-02,St Vincent,E Caribbean Dollar,XCD,3.6805
2021-02,Sudan Republic,Pound,SDG,75.3100
2021-02,Surinam,Dollar,SRD,19.2900
2021-02,Swaziland,Lilangeni,SZL,20.2900
2021-02,Sweden,Krona,SEK,11.3800
2021-02,Switzerland,Franc,CHF,1.2142
2021-02,Taiwan,Dollar,TWD,38.1600
2021-02,Tanzania,Schilling,TZS,3161.1600
2021-02,Thailand,Baht,THB,40.8800
2021-02,Togo Republic,CFA Franc,XOF,738.6800
2021-02,Tonga Islands,Pa'anga (AUS),TOP,1.7604
2021-02,Trinidad/Tobago,Dollar,TTD,9.2142
2021-02,Tunisia,Dinar,TND,3.6811
2021-02,Turkey,Turkish  Lira,TRY,10.0900
2021-02,Turkmenistan,New Manat,TMT,4.7847
2021-02,UAE,Dirham,AED,5.0071
2021-02,USA,Dollar,USD,1.3632
2021-02,Uganda,Schilling,UGX,5027.3300
2021-02,Ukraine,Hryvnia,UAH,38.4900
2021-02,Uruguay,Peso,UYU,57.5000
2021-02,Uzbekistan,Sum,UZS,14314.2800
2021-02,Vanuatu,Vatu,VUV,148.6000
2021-02,Vietnam,Dong,VND,31452.1700
2021-02,Wallis & Futuna Islands,CFP Franc,XPF,134.3800
